"chr","new_wind","count_sl_15_30","count_sl_16_50","count_sl_6_15","length_sl_15_30","length_sl_16_50","length_sl_6_15","from","to","coverage_sl_15_30","coverage_sl_16_50","coverage_sl_6_15"
"1",64,8496,352,17711,500236,16170,525686,63000000,64000000,0.500236,0.01617,0.525686
"1",65,8484,263,17802,473351,10641,509460,64000000,65000000,0.473351,0.010641,0.50946
"1",66,8471,294,17788,474882,12266,507052,65000000,66000000,0.474882,0.012266,0.507052
"1",67,8370,298,17620,482940,12635,518290,66000000,67000000,0.48294,0.012635,0.51829
"1",68,8409,318,17915,491450,13915,523647,67000000,68000000,0.49145,0.013915,0.523647
"1",69,8379,247,17818,465092,10528,508794,68000000,69000000,0.465092,0.010528,0.508794
"1",70,8359,289,17719,481275,12937,519260,69000000,70000000,0.481275,0.012937,0.51926
"1",71,8360,378,17676,518924,15709,541674,70000000,71000000,0.518924,0.015709,0.541674
"1",72,8394,332,17548,493783,16082,524920,71000000,72000000,0.493783,0.016082,0.52492
"1",73,8570,404,17816,542010,17647,555019,72000000,73000000,0.54201,0.017647,0.555019
"1",74,8386,371,17636,523552,16548,543536,73000000,74000000,0.523552,0.016548,0.543536
"1",75,8414,347,17604,514731,14966,535039,74000000,75000000,0.514731,0.014966,0.535039
"1",76,8354,271,17643,488629,11928,521539,75000000,76000000,0.488629,0.011928,0.521539
"1",77,8377,263,17565,479430,11751,516599,76000000,77000000,0.47943,0.011751,0.516599
"1",78,8397,277,17719,482236,12641,516405,77000000,78000000,0.482236,0.012641,0.516405
"1",79,8392,297,17776,493101,12640,522023,78000000,79000000,0.493101,0.01264,0.522023
"1",80,8441,356,17734,517619,15505,540814,79000000,80000000,0.517619,0.015505,0.540814
"1",81,8364,386,17692,526997,17435,549999,80000000,81000000,0.526997,0.017435,0.549999
"1",82,8596,329,17696,522780,13383,541475,81000000,82000000,0.52278,0.013383,0.541475
"1",83,8480,331,17829,515150,14507,536368,82000000,83000000,0.51515,0.014507,0.536368
"1",84,8487,339,17696,509221,14662,528978,83000000,84000000,0.509221,0.014662,0.528978
"1",85,8358,318,17626,495075,13171,520680,84000000,85000000,0.495075,0.013171,0.52068
"1",86,8388,292,17873,481072,12862,517672,85000000,86000000,0.481072,0.012862,0.517672
"1",87,8354,316,17616,494960,12680,526295,86000000,87000000,0.49496,0.01268,0.526295
"1",88,8361,260,17838,477235,11167,515109,87000000,88000000,0.477235,0.011167,0.515109
"1",89,8551,279,17827,493312,11371,519708,88000000,89000000,0.493312,0.011371,0.519708
"1",90,8321,275,17583,477015,11505,513927,89000000,90000000,0.477015,0.011505,0.513927
"1",91,8437,280,17747,479492,12850,516813,90000000,91000000,0.479492,0.01285,0.516813
"1",92,8247,247,17594,473254,14186,514720,91000000,92000000,0.473254,0.014186,0.51472
"1",93,8434,288,17818,481914,11766,511568,92000000,93000000,0.481914,0.011766,0.511568
"1",94,8330,361,17697,485194,14906,518884,93000000,94000000,0.485194,0.014906,0.518884
"1",95,8298,247,17638,468595,9901,508573,94000000,95000000,0.468595,0.009901,0.508573
"1",96,8366,276,17702,468939,11618,508466,95000000,96000000,0.468939,0.011618,0.508466
"1",97,8444,309,17742,492502,13439,523996,96000000,97000000,0.492502,0.013439,0.523996
"1",98,8417,348,17566,505227,15414,529520,97000000,98000000,0.505227,0.015414,0.52952
"1",99,8579,369,17748,533266,14950,542678,98000000,99000000,0.533266,0.01495,0.542678
"1",100,8376,305,17658,500870,12807,530748,99000000,100000000,0.50087,0.012807,0.530748
"1",101,8462,330,17740,495068,13587,525539,100000000,101000000,0.495068,0.013587,0.525539
"1",102,8175,308,17520,480579,14084,510848,101000000,102000000,0.480579,0.014084,0.510848
"1",103,8353,333,17450,516977,17274,541072,102000000,103000000,0.516977,0.017274,0.541072
"1",104,7998,389,16577,511782,18201,526468,103000000,104000000,0.511782,0.018201,0.526468
"1",105,8376,362,17496,519564,15080,540299,104000000,105000000,0.519564,0.01508,0.540299
"1",106,8226,432,17368,520264,20871,544765,105000000,106000000,0.520264,0.020871,0.544765
